"","TimeStamp","Timestamp.UTC.","hour_cross","minute_cross","year_cross","doy_cross","minlag","minlead"
"1",2005-01-04 19:04:00,"04/01/2005 19:04:30.000",19,4,2005,3,2005-01-04 18:49:00,2005-01-04 19:19:00
"2",2005-01-05 02:34:00,"05/01/2005 02:34:30.000",2,34,2005,4,2005-01-05 02:19:00,2005-01-05 02:49:00
"3",2005-01-05 05:48:00,"05/01/2005 05:48:30.000",5,48,2005,4,2005-01-05 05:33:00,2005-01-05 06:03:00
"4",2005-01-05 21:36:00,"05/01/2005 21:36:30.000",21,36,2005,4,2005-01-05 21:21:00,2005-01-05 21:51:00
"5",2005-01-25 03:01:00,"25/01/2005 03:01:30.000",3,1,2005,24,2005-01-25 02:46:00,2005-01-25 03:16:00
"6",2005-01-25 06:55:00,"25/01/2005 06:55:30.000",6,55,2005,24,2005-01-25 06:40:00,2005-01-25 07:10:00
"7",2005-01-25 14:22:00,"25/01/2005 14:22:30.000",14,22,2005,24,2005-01-25 14:07:00,2005-01-25 14:37:00
"8",2005-01-28 16:01:00,"28/01/2005 16:01:30.000",16,1,2005,27,2005-01-28 15:46:00,2005-01-28 16:16:00
"9",2005-01-28 16:13:00,"28/01/2005 16:13:30.000",16,13,2005,27,2005-01-28 15:58:00,2005-01-28 16:28:00
"10",2005-02-12 07:52:00,"12/02/2005 07:52:30.000",7,52,2005,42,2005-02-12 07:37:00,2005-02-12 08:07:00
"11",2005-02-12 08:22:00,"12/02/2005 08:22:30.000",8,22,2005,42,2005-02-12 08:07:00,2005-02-12 08:37:00
"12",2005-02-12 19:30:00,"12/02/2005 19:30:30.000",19,30,2005,42,2005-02-12 19:15:00,2005-02-12 19:45:00
"13",2005-02-25 08:46:00,"25/02/2005 08:46:30.000",8,46,2005,55,2005-02-25 08:31:00,2005-02-25 09:01:00
"14",2005-03-02 07:31:00,"02/03/2005 07:31:30.000",7,31,2005,60,2005-03-02 07:16:00,2005-03-02 07:46:00
"15",2005-03-02 16:06:00,"02/03/2005 16:06:30.000",16,6,2005,60,2005-03-02 15:51:00,2005-03-02 16:21:00
"16",2005-03-05 16:07:00,"05/03/2005 16:07:30.000",16,7,2005,63,2005-03-05 15:52:00,2005-03-05 16:22:00
"17",2005-03-06 16:40:00,"06/03/2005 16:40:30.000",16,40,2005,64,2005-03-06 16:25:00,2005-03-06 16:55:00
"18",2005-03-06 17:03:00,"06/03/2005 17:03:30.000",17,3,2005,64,2005-03-06 16:48:00,2005-03-06 17:18:00
"19",2005-03-06 18:39:00,"06/03/2005 18:39:30.000",18,39,2005,64,2005-03-06 18:24:00,2005-03-06 18:54:00
"20",2005-03-15 19:25:00,"15/03/2005 19:25:30.000",19,25,2005,73,2005-03-15 19:10:00,2005-03-15 19:40:00
"21",2005-03-15 22:40:00,"15/03/2005 22:40:30.000",22,40,2005,73,2005-03-15 22:25:00,2005-03-15 22:55:00
"22",2005-03-15 23:47:00,"15/03/2005 23:47:30.000",23,47,2005,73,2005-03-15 23:32:00,2005-03-16 00:02:00
"23",2005-03-16 00:01:00,"16/03/2005 00:01:30.000",0,1,2005,74,2005-03-15 23:46:00,2005-03-16 00:16:00
"24",2005-03-16 00:50:00,"16/03/2005 00:50:30.000",0,50,2005,74,2005-03-16 00:35:00,2005-03-16 01:05:00
"25",2005-03-16 02:42:00,"16/03/2005 02:42:30.000",2,42,2005,74,2005-03-16 02:27:00,2005-03-16 02:57:00
"26",2005-03-16 03:19:00,"16/03/2005 03:19:30.000",3,19,2005,74,2005-03-16 03:04:00,2005-03-16 03:34:00
"27",2005-03-16 03:46:00,"16/03/2005 03:46:30.000",3,46,2005,74,2005-03-16 03:31:00,2005-03-16 04:01:00
"28",2005-03-16 05:38:00,"16/03/2005 05:38:30.000",5,38,2005,74,2005-03-16 05:23:00,2005-03-16 05:53:00
